Stock,Close Date,Open,High,Low,Close,Volume
AAPL,1/3/2000,3.67,4.02,3.63,4,4750700
AAPL,1/4/2000,3.95,3.95,3.61,3.66,4519300
AAPL,1/5/2000,3.68,3.95,3.59,3.63,6940600
AAPL,1/6/2000,3.75,3.82,3.34,3.39,6856500
AAPL,1/7/2000,3.41,3.61,3.41,3.5,4108800
AAPL,1/10/2000,3.65,3.65,3.38,3.49,4506900
AAPL,1/11/2000,3.52,3.55,3.23,3.31,3923000
AAPL,1/12/2000,3.31,3.41,3.09,3.12,8714300
AAPL,1/13/2000,3.3,3.53,3.3,3.46,9220000
AAPL,1/14/2000,3.45,3.65,3.45,3.59,3485500
AAPL,1/18/2000,3.63,3.79,3.59,3.77,4043300
AAPL,1/19/2000,3.71,3.88,3.69,3.82,5109800
AAPL,1/20/2000,4.14,4.34,4.05,4.1,16344200
AAPL,1/21/2000,4.05,4.08,3.94,3.97,4414700
AAPL,1/24/2000,4,4.02,3.75,3.82,3936100
AAPL,1/25/2000,3.79,4.04,3.66,3.99,4416200
AAPL,1/26/2000,4,4.06,3.83,3.83,3272400
AAPL,1/27/2000,3.91,4.04,3.82,3.93,3036600
AAPL,1/28/2000,3.89,3.96,3.59,3.63,3780000
AAPL,1/31/2000,3.63,3.73,3.38,3.7,6284400
AAPL,2/1/2000,3.67,3.75,3.57,3.58,2797000
AAPL,2/2/2000,3.61,3.64,3.46,3.53,4089800
AAPL,2/3/2000,3.58,3.72,3.58,3.69,4242700
AAPL,2/4/2000,3.7,3.93,3.7,3.85,3797500
AAPL,2/7/2000,3.87,4.09,3.79,4.07,3937100
AAPL,2/8/2000,4.08,4.15,3.98,4.1,3511000
AAPL,2/9/2000,4.1,4.18,4.02,4.08,2670900
AAPL,2/10/2000,4.02,4.07,3.9,4.05,2704400
AAPL,2/11/2000,4.05,4.08,3.87,3.88,1869700
AAPL,2/14/2000,3.92,4.19,3.88,4.17,3245100
AAPL,2/15/2000,4.12,4.28,4.11,4.25,4326300
AAPL,2/16/2000,4.22,4.22,4,4.08,3375900
AAPL,2/17/2000,4.07,4.13,4.05,4.1,2584800
AAPL,2/18/2000,4.1,4.12,3.92,4.01,2048100
AAPL,2/22/2000,3.98,4.18,3.81,4.04,3765900
AAPL,2/23/2000,4.07,4.25,3.96,4.15,4038700
AAPL,2/24/2000,4.17,4.25,3.99,4.11,3359100
AAPL,2/25/2000,4.12,4.18,3.93,3.96,2060400
